"grappe","dist_popcenter","dist_border","dist_road","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2017_tot","h2017_wetQ","h2017_wetQstart","ndvi_avg","ndvi_max","h2017_ndvi_avg","h2017_ndvi_max","type","lat_dd_mod","lon_dd_mod","hors_mali","hors_mali_utm","erreur_projection","hors_mali_reel","proche_frontiere","dans_eau_suspect","zone_humide_twi","zone_non_cultivee","zone_inhabitee","erreur_saisie","derive_gps","exploitation","passage","cluster","doublon","nb_grappes_cluster","nb_passages_cluster","nb_exploitations_cluster","origine_doublon","distance_centre","suspect_distance","score","niveau","decision","surface_gps_m2","surface_gps_ha","hybrid_V8_prop","surface_cultivee_ha"
238,84,162,47,154,274,265,946,281,654,60,35,312,1.9,320,13,1,1,2,1,1,1,2,785,529,18,888,19,562,0.3081,0.3978,0.3266,0.43,"offset",12.2998025624,-6.25196861298,0,0,0,0,12394.2497896008,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",161702.604721917,0,0,"Bon","Garder",31401.5737457483,3.14015737457483,0.35,1.09905508110119
239,120,12,2,177,272,259,1181,310,793,120,18,312,2.7,347,14,1,1,1,1,1,1,1,813,542,18,820,17,547,0.3211,0.3975,0.3216,0.3922,"offset",11.6946104053,-8.68831786794,0,0,0,0,6643.39869955757,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",356790.119496748,0,0,"Bon","Garder",31401.5737457192,3.14015737457192,0.18,0.565228327422945
240,120,11,3,177,272,259,1181,309,793,150,18,312,2.6,349,14,1,1,1,1,1,1,1,812,542,18,817,17,544,0.3201,0.3954,0.3178,0.3895,"offset",11.7060391745,-8.69929935497,0,0,0,0,7108.30482993062,0,0,0,0,0,0,3,1,0,0,746,1,4,"Non_doublon",356887.83116322,0,0,"Bon","Garder",31401.5737457108,3.14015737457108,0.18,0.565228327422794
241,112,19,6,170,271,258,1170,308,790,100,10,312,2.7,362,13,1,1,1,1,1,1,1,817,552,18,827,17,563,0.3331,0.4083,0.3161,0.3778,"offset",11.7954210928,-8.71511028054,0,0,0,0,11486.1884814984,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",351820.782026037,0,0,"Bon","Garder",31401.5737456912,3.14015737456912,0.1,0.314015737456912
242,114,18,3,171,272,259,1171,308,789,120,19,312,2.5,349,14,1,1,1,1,1,1,1,812,544,18,823,17,553,0.3277,0.4021,0.3166,0.3684,"offset",11.7527611885,-8.64587632925,0,0,0,0,14769.0740163849,0,0,0,0,0,0,3,1,0,0,746,1,4,"Non_doublon",348917.870199268,0,0,"Bon","Garder",31401.5737457545,3.14015737457545,0.19,0.596629901169336
243,105,26,4,162,273,260,1158,307,781,100,29,312,1.9,343,15,1,1,1,1,1,1,1,812,546,19,816,17,556,0.342,0.4212,0.3282,0.3942,"offset",11.7626006652,-8.5629113138,0,0,0,0,20088.9641358237,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",341155.468988009,0,0,"Bon","Garder",31401.5737457797,3.14015737457797,0.29,0.910645638627611
244,89,43,4,145,274,261,1130,305,766,140,26,312,1.9,345,13,1,1,1,1,1,1,1,805,546,18,795,16,563,0.3346,0.415,0.3115,0.3711,"offset",11.8889746099,-8.48094160624,0,0,0,0,27774.2682294808,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",324895.154393655,0,0,"Bon","Garder",31401.5737457839,3.14015737457839,0.26,0.816440917390381
245,88,46,3,143,274,261,1126,304,762,140,30,312,2,343,13,1,1,1,1,1,1,1,807,548,18,797,16,561,0.3365,0.4194,0.3201,0.3791,"offset",11.8790693604,-8.43472618117,0,0,0,0,25378.841223464,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",321699.202849752,0,0,"Bon","Garder",31401.5737458337,3.14015737458337,0.3,0.942047212375011
246,81,52,4,137,274,261,1109,301,754,140,24,312,2.1,344,13,1,1,1,1,1,1,1,808,551,18,797,17,560,0.3295,0.4079,0.3149,0.3936,"offset",11.9422417215,-8.4192509262,0,0,0,0,32311.3557540652,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",315739.426264869,0,0,"Bon","Garder",31401.5737458351,3.14015737458351,0.24,0.753637769900042
247,80,52,4,136,274,261,1107,301,754,130,22,312,2.2,347,15,1,1,1,1,1,1,1,809,552,18,800,17,565,0.3244,0.3964,0.3101,0.382,"offset",11.9706960424,-8.42815044039,0,0,0,0,35623.1514591731,0,0,0,0,0,0,1,1,0,0,746,1,4,"Non_doublon",314439.620333175,0,0,"Bon","Garder",31401.5737457736,3.14015737457736,0.22,0.69083462240702
