"grappe","dist_popcenter","dist_border","dist_road","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2017_tot","h2017_wetQ","h2017_wetQstart","ndvi_avg","ndvi_max","h2017_ndvi_avg","h2017_ndvi_max","type","lat_dd_mod","lon_dd_mod"
598,53,113,20,126,275,268,768,224,542,50,34,312,1.2,291,15,1,1,1,1,1,1,2,680,478,18,768,19,589,0.2898,0.3707,0.3001,0.369,"offset",12.8781032313,-5.27195682651
599,56,78,4,159,273,266,803,233,576,110,44,312,1.3,313,14,1,1,2,1,1,1,2,725,493,18,885,19,678,0.2931,0.3719,0.2932,0.3475,"offset",12.6485331742,-5.02298658494
600,59,83,3,158,274,266,793,234,572,100,43,312,1.3,312,14,1,1,2,1,1,1,2,701,480,18,932,19,696,0.2904,0.3684,0.2847,0.3512,"offset",12.7288047415,-5.02318170891
601,66,71,5,169,273,266,829,240,594,110,45,312,1.2,316,15,1,1,2,1,1,1,2,714,486,18,924,19,664,0.2916,0.375,0.3125,0.3625,"offset",12.6496859029,-4.89546866045
602,53,90,3,160,275,267,785,238,573,200,41,312,1.2,307,14,1,1,2,1,1,1,2,682,479,18,952,19,638,0.2879,0.3609,0.3008,0.3985,"offset",12.8352395195,-4.92681797753
603,50,93,3,159,275,267,781,238,571,210,40,312,1.3,306,14,1,1,2,1,1,1,2,687,485,18,932,19,628,0.2833,0.3571,0.2969,0.3932,"offset",12.8577070405,-4.9406181932
604,16,117,4,152,278,270,723,223,534,120,43,312,1.3,286,14,1,1,1,1,1,1,2,683,503,18,691,19,539,0.2669,0.3426,0.2739,0.3886,"offset",13.1552031316,-4.89242600464
605,23,115,3,153,278,270,736,226,541,120,43,312,1.2,286,14,1,1,1,1,1,1,2,679,502,18,670,19,526,0.2813,0.3588,0.2852,0.3873,"offset",13.092487109,-4.88828083055
606,26,137,19,127,275,270,679,215,503,40,37,312,1.3,277,14,1,1,1,2,2,1,1,637,471,18,669,19,526,0.2364,0.3044,0.2575,0.3233,"offset",13.4407054269,-5.10135873621
607,35,86,5,184,277,272,689,214,513,110,15,312,1.5,288,15,1,1,1,2,1,1,1,628,467,18,650,19,501,0.2367,0.3063,0.2576,0.3431,"offset",13.4632875027,-4.62930614263
608,42,77,4,193,276,272,686,216,510,50,18,312,1.3,284,14,1,1,1,1,1,1,1,617,456,18,634,19,479,0.2433,0.31,0.2669,0.3435,"offset",13.4885224528,-4.53457172096
609,34,86,6,178,277,272,690,214,513,110,15,312,1.5,289,15,1,1,1,2,1,1,1,629,468,18,650,19,502,0.2355,0.3048,0.2555,0.3462,"offset",13.455604337,-4.63602217568
610,27,90,4,174,278,271,704,213,521,110,27,312,1.3,291,14,1,1,2,1,1,1,2,648,479,18,675,19,524,0.2568,0.3302,0.2809,0.3755,"offset",13.3605990624,-4.67668029652
611,25,90,3,174,278,271,711,213,524,110,29,312,1.2,287,14,1,1,1,1,1,1,2,654,483,18,693,19,538,0.26,0.3359,0.277,0.3448,"offset",13.3025933817,-4.68417008045
612,27,88,3,176,278,271,707,213,522,120,28,312,1.3,292,14,1,1,2,1,1,1,2,647,478,18,672,19,521,0.257,0.3306,0.2772,0.3552,"offset",13.3349083968,-4.65446968576
613,1,115,1,150,279,271,697,217,519,3800,4,312,1.1,286,14,1,1,2,1,1,1,2,664,493,18,723,19,582,0.2408,0.3111,0.2674,0.3231,"comm_ctr",13.3003121831,-4.89832143025
614,1,115,1,150,279,271,697,217,519,3800,4,312,1.1,286,14,1,1,2,1,1,1,2,664,493,18,723,19,582,0.2408,0.3111,0.2674,0.3231,"comm_ctr",13.3003121831,-4.89832143025
615,1,115,1,150,279,271,697,217,519,3800,4,312,1.1,286,14,1,1,2,1,1,1,2,664,493,18,723,19,582,0.2408,0.3111,0.2674,0.3231,"comm_ctr",13.3003121831,-4.89832143025
616,1,115,1,150,279,271,697,217,519,3800,4,312,1.1,286,14,1,1,2,1,1,1,2,664,493,18,723,19,582,0.2408,0.3111,0.2674,0.3231,"comm_ctr",13.3003121831,-4.89832143025
617,1,115,1,150,279,271,697,217,519,3800,4,312,1.1,286,14,1,1,2,1,1,1,2,664,493,18,723,19,582,0.2408,0.3111,0.2674,0.3231,"comm_ctr",13.3003121831,-4.89832143025
618,32,84,2,181,277,271,710,212,522,170,33,312,1.2,293,14,1,1,1,1,1,1,2,640,473,18,648,19,501,0.2518,0.3233,0.2674,0.331,"offset",13.3321400016,-4.59250839791
619,40,76,4,195,276,272,678,215,505,60,16,312,1.4,283,14,1,1,2,1,1,1,2,610,452,18,637,19,479,0.2367,0.301,0.2631,0.3284,"offset",13.5445603149,-4.51104108628
620,38,77,4,193,275,272,670,214,501,70,9,312,1.5,283,14,1,1,2,1,1,1,2,608,451,18,645,19,488,0.2317,0.295,0.2577,0.3208,"offset",13.5742773418,-4.52117209443
621,73,42,26,223,270,265,706,216,516,60,15,312,1.9,383,14,1,1,3,1,1,1,3,603,427,18,762,19,588,0.2576,0.3242,0.2719,0.366,"offset",13.2774637278,-4.2042648574
622,68,49,19,217,271,265,720,218,525,60,19,312,1.8,374,14,1,1,2,1,1,1,3,622,440,18,714,19,537,0.2605,0.3294,0.2752,0.3735,"offset",13.2622816392,-4.25533963508
623,62,53,17,212,272,267,714,217,523,60,20,312,1.6,345,14,1,1,2,1,1,1,2,641,458,18,672,19,498,0.2587,0.3244,0.2797,0.3465,"offset",13.2872432215,-4.3156047149
624,61,52,23,212,273,268,696,214,512,60,19,312,1.7,330,13,1,1,2,1,1,1,3,597,430,18,669,19,500,0.2635,0.3299,0.2897,0.3577,"offset",13.3860472746,-4.31773957719
626,84,79,36,224,270,263,789,227,563,40,37,312,2.8,390,14,1,1,3,1,1,1,3,709,488,18,889,19,565,0.2828,0.3563,0.2865,0.3806,"offset",12.7916138384,-4.31356530864
627,82,81,37,220,270,262,795,228,567,30,30,312,3,399,13,1,1,3,1,1,1,3,706,485,18,880,19,559,0.285,0.3614,0.2913,0.3894,"offset",12.8018923981,-4.35959899472
628,39,91,20,183,276,269,756,224,553,100,40,312,1.2,295,14,1,1,2,1,1,1,2,671,485,18,725,19,567,0.278,0.3589,0.3018,0.4056,"offset",13.0712602459,-4.62414749332
629,76,69,23,221,271,264,776,227,557,50,28,312,2.2,375,13,1,1,3,1,1,1,3,668,457,18,873,19,572,0.2854,0.3624,0.2945,0.3839,"offset",12.9390353789,-4.29677962847
630,65,78,20,208,272,266,783,230,566,100,46,312,1.5,350,15,1,1,2,1,1,1,2,684,474,18,812,19,566,0.2827,0.3628,0.3037,0.4017,"offset",12.9498307764,-4.41174407699
631,56,86,23,198,274,268,783,230,568,160,42,312,1.4,318,14,1,1,2,1,1,1,2,678,476,18,747,19,550,0.2816,0.3623,0.3154,0.4362,"offset",12.9791913819,-4.53121304564
632,36,72,5,141,273,274,550,184,421,60,4,312,1.6,285,13,1,1,2,1,1,1,2,532,397,18,670,19,519,0.2274,0.2861,0.2362,0.2868,"offset",13.8763008251,-4.2182200405
633,45,62,15,201,272,272,561,186,428,40,5,312,2.1,304,14,1,1,2,1,1,1,2,535,396,18,717,19,562,0.2341,0.2937,0.2428,0.277,"offset",13.8392346602,-4.13851961243
634,43,62,14,214,272,272,563,187,429,50,9,312,1.9,299,14,1,1,2,1,1,1,2,534,396,18,699,19,545,0.2343,0.2951,0.2453,0.2807,"offset",13.8480786929,-4.16026426095
635,41,61,14,228,273,272,571,189,434,50,15,312,1.5,293,14,1,1,2,1,1,1,2,539,398,18,696,19,539,0.2484,0.3147,0.2609,0.3093,"offset",13.7825995511,-4.19165834583
636,55,43,30,232,273,270,616,198,461,80,20,312,2,306,14,1,1,3,1,1,1,3,565,408,18,712,19,540,0.2622,0.3332,0.2726,0.3639,"offset",13.6367301546,-4.13065969627
637,55,44,29,231,273,270,615,198,461,70,21,312,2,305,14,1,1,3,1,1,1,3,561,407,18,697,19,521,0.2578,0.3272,0.2657,0.359,"offset",13.6226713233,-4.18185557787
