"grappe","exploitation","passage","s11dq01","s11dq02","s11dq03","s11dq04a","s11dq04b","s11dq05","s11dq06","s11dq07","s11dq08","s11dq09","s11dq10","s11dq11","s11dq12"
3,9,1,102,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
4,7,1,121,1,1,1,0,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,2,1.79769313486232e+308
5,1,1,104,10,1,1,0,2,1.79769313486232e+308,1,2,2,1.79769313486232e+308,2,1.79769313486232e+308
5,2,1.79769313486232e+308,102,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
5,3,1,120,7,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
5,4,1,104,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
5,7,1.79769313486232e+308,121,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
6,1,1,104,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
6,2,1,102,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
6,4,1,121,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
6,5,1,104,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
6,6,1,102,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
6,7,1,104,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
6,8,1,121,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
6,9,1,102,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
7,1,1,121,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
7,2,1,104,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
7,3,1,104,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
7,4,1,104,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
7,5,1,121,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
7,6,1,104,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
7,7,1,121,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
7,8,1,121,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
7,9,1,104,1,1,1,0,1,1,1,1,2,1.79769313486232e+308,2,1.79769313486232e+308
8,1,1,121,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1.79769313486232e+308
8,2,1,104,1,1,1,0,1,2,1,2,1,1,2,1.79769313486232e+308
8,3,1,104,1,1,1,0,1,2,1,2,1,1,2,1.79769313486232e+308
8,4,1,104,1,1,1,0,1,2,1,2,1,1,2,1.79769313486232e+308
