"strate","grappe","exploitation","poids_leger","poids_lourd"
4,80,1,146.936874389648,1.79769313486232e+308
4,81,1,622.341125488281,1.79769313486232e+308
4,82,1,403.870300292969,1.79769313486232e+308
4,83,1,129.085494995117,1.79769313486232e+308
4,84,1,238.479995727539,1.79769313486232e+308
4,86,1,118.755905151367,1.79769313486232e+308
4,87,1,483.667205810547,1.79769313486232e+308
4,88,1,485.183471679688,1.79769313486232e+308
4,89,1,126.759643554688,1.79769313486232e+308
4,90,1,170.54931640625,1.79769313486232e+308
5,91,3,480.701843261719,513.680969238281
5,92,1,99.626350402832,1.79769313486232e+308
5,93,1,85.8770141601562,1.79769313486232e+308
5,95,1,166.480880737305,1.79769313486232e+308
5,96,1,226.537628173828,1.79769313486232e+308
5,97,1,77.021598815918,1.79769313486232e+308
5,98,1,145.990921020508,1.79769313486232e+308
5,99,1,124.362655639648,1.79769313486232e+308
5,100,1,364.977294921875,1.79769313486232e+308
5,101,1,275.760620117188,1.79769313486232e+308
5,102,1,316.313659667969,1.79769313486232e+308
5,103,3,266.244842529297,663.858764648438
5,104,3,319.980102539062,512.899108886719
5,106,1,154.8388671875,1.79769313486232e+308
5,107,1,121.65909576416,1.79769313486232e+308
5,108,1,87.5945587158203,1.79769313486232e+308
5,109,1,178.992706298828,1.79769313486232e+308
5,110,3,194.654556274414,208.009063720703
5,111,1,114.502700805664,1.79769313486232e+308
5,112,1,196.362060546875,1.79769313486232e+308
5,113,1,166.596252441406,1.79769313486232e+308
50,114,1,176.561340332031,188.674545288086
50,115,1,73.5435333251953,78.5890808105469
50,116,1,60.3030738830566,64.4402389526367
50,117,1,607.205627441406,648.863708496094
50,118,1,207.291839599609,221.51335144043
6,119,1,104.34651184082,1.79769313486232e+308
6,120,1,91.1532669067383,1.79769313486232e+308
6,121,1,64.7667922973633,1.79769313486232e+308
6,122,1,74.579948425293,1.79769313486232e+308
6,123,1,97.3331451416016,1.79769313486232e+308
6,124,1,44.2927856445312,1.79769313486232e+308
6,125,1,65.7948379516602,1.79769313486232e+308
6,126,2,259.786804199219,1.79769313486232e+308
6,127,1,65.257453918457,1.79769313486232e+308
6,128,1,55.0590171813965,1.79769313486232e+308
6,129,1,111.46459197998,1.79769313486232e+308
6,130,1,43.3298988342285,1.79769313486232e+308
6,131,1,116.676177978516,1.79769313486232e+308
6,132,2,96.3263549804688,1.79769313486232e+308
6,133,1,65.4641723632812,1.79769313486232e+308
6,134,1,152.506423950195,1.79769313486232e+308
6,135,1,110.894302368164,1.79769313486232e+308
6,136,1,99.1291809082031,1.79769313486232e+308
6,137,1,211.504043579102,1.79769313486232e+308
50,138,1,258.244476318359,275.961639404297
50,139,1,99.5000762939453,106.326400756836
50,140,1,435.240112304688,465.100311279297
7,141,1,37.7675590515137,1.79769313486232e+308
7,142,1,89.8167114257812,1.79769313486232e+308
7,143,2,111.279403686523,1.79769313486232e+308
7,144,1,75.7057495117188,1.79769313486232e+308
7,145,1,44.0504112243652,1.79769313486232e+308
7,146,1,35.3009948730469,1.79769313486232e+308
7,147,1,88.8586654663086,1.79769313486232e+308
7,148,1,40.0140037536621,1.79769313486232e+308
7,149,1,88.6847686767578,1.79769313486232e+308
7,150,1,26.818510055542,1.79769313486232e+308
7,151,1,76.77880859375,1.79769313486232e+308
7,152,1,73.4658279418945,1.79769313486232e+308
7,153,1,63.4704780578613,1.79769313486232e+308
7,155,1,71.7492370605469,1.79769313486232e+308
7,156,1,91.9227676391602,1.79769313486232e+308
