"grappe","exploitation","passage","s9q00","s9q01","s9q02a","s9q02d","s9q02e","s9q02f","s9q03","s9q04","s9q05","s9q06","s9q07","s9q08","s9q09","s9q10","s9q11","s9q12a","s9q12b"
31,1,1,1,1,1,1,66,1.79769313486232e+308,3,1,27,3,1,6,2,1,3,600000,3
31,2,1,1,2,1,1,27,1.79769313486232e+308,4,1,23,2,2,1.79769313486232e+308,5,1,3,250000,4
31,6,1,1,2,2,2,46,1.79769313486232e+308,2,2,34,3,1,0,2,1,3,10000,4
32,3,1,1,1,1,2,51,1.79769313486232e+308,2,1,998,1,1,6,5,1,3,65000,1
33,5,1,1,2,2,2,53,1.79769313486232e+308,1,1,998,2,1,20,5,1,3,100000,1
35,3,1,1,4,4,2,49,1.79769313486232e+308,5,2,998,1,2,1.79769313486232e+308,5,1,3,20000,5
35,6,1,1,1,1,1,38,1.79769313486232e+308,3,2,75,1,1,11,3,1,3,10000,5
35,9,1,1,7,7,1,30,1.79769313486232e+308,3,2,32,5,1,12,3,2,3,30000,5
36,3,1,1,2,1,1,28,1.79769313486232e+308,4,1,25,2,1,0,3,1,3,30000,5
36,6,1,1,1,1,1,50,1.79769313486232e+308,4,1,40,4,1,0,2,1,3,15000,5
36,9,1,1,2,2,2,17,1.79769313486232e+308,1,1,30,2,1,0,3,1,3,5000,5
39,3,1,1,1,1,1,46,1.79769313486232e+308,4,1,40,1,2,1.79769313486232e+308,5,1,3,500000,4
41,6,1,1,17,1,1,59,1.79769313486232e+308,4,1,48,1,1,25,5,1,3,250000,5
41,9,1,1,1,1,1,45,1.79769313486232e+308,4,1,40,1,1,25,5,1,3,200000,5
42,3,1,1,1,2,2,30,1.79769313486232e+308,4,1,45,1,2,1.79769313486232e+308,5,1,3,75000,5
42,6,1,1,1,1,1,53,1.79769313486232e+308,4,1,35,1,1,10,4,1,3,100000,5
42,9,1,1,1,1,1,40,1.79769313486232e+308,4,1,55,1,1,20,5,1,3,150000,5
43,6,1,1,1,1,1,32,1.79769313486232e+308,4,1,24,1,1,0,4,1,3,100000,5
43,9,1,1,1,1,1,67,1.79769313486232e+308,3,1,33,1,1,2,5,1,3,200000,5
45,9,1,1,1,1,1,63,1.79769313486232e+308,5,1,45,1,1,2,3,1,3,100000,5
46,6,1,1,1,1,1,66,1.79769313486232e+308,4,1,998,1,1,0,5,1,2,60000,5
47,3,1,2,1,7,2,37,1.79769313486232e+308,4,1,998,1,2,1.79769313486232e+308,4,1,3,50000,5
47,6,1,1,1,1,1,29,1.79769313486232e+308,4,1,998,1,1,15,5,1,3,250000,5
47,9,1,1,2,1,1,87,1.79769313486232e+308,2,1,48,1,1,15,5,1,3,100000,5
48,3,1,1,1,1,1,60,1.79769313486232e+308,2,2,35,1,1,10,4,1,3,100000,5
48,9,1,1,1,1,1,37,1.79769313486232e+308,4,1,45,1,1,20,5,1,3,18000,5
49,9,1,1,2,5,2,63,1.79769313486232e+308,3,1,30,6,1,12,3,1,3,55000,1
50,3,1,2,1,1,1,65,1.79769313486232e+308,2,1,38,6,1,0,2,1,3,50000,5
50,6,1,2,8,8,2,40,1.79769313486232e+308,4,1,998,6,1,8,2,1,3,30000,5
50,9,1,1,1,1,1,63,1.79769313486232e+308,4,1,48,2,1,0,3,1,3,15000,5
57,3,1,1,1,1,1,85,1.79769313486232e+308,2,1,36,3,1,10,6,1,1,50000,4
57,6,1,2,1,8,2,29,1.79769313486232e+308,5,1,57,4,2,1.79769313486232e+308,2,1,3,30000,4
57,9,1,1,1,11,2,40,1.79769313486232e+308,5,1,31,3,2,1.79769313486232e+308,2,1,3,20000,4
58,3,1,1,1,1,1,54,1.79769313486232e+308,2,1,31,1,1,5,4,1,3,300000,5
58,6,1,1,6,1,1,60,1.79769313486232e+308,2,1,37,1,1,8,4,1,3,250000,4
58,9,1,1,3,1,1,95,1.79769313486232e+308,3,1,48,1,1,10,5,1,3,600000,5
59,3,1,1,1,1,1,65,1.79769313486232e+308,2,1,998,1,1,5,3,1,4,200000,2
59,6,1,1,1,1,1,56,1.79769313486232e+308,4,1,998,1,1,6,5,1,4,200000,4
59,9,1,1,1,1,1,74,1.79769313486232e+308,2,1,998,1,1,6,5,1,4,150000,4
60,3,1,1,1,1,1,38,1.79769313486232e+308,4,1,28,3,1,2,4,2,3,350000,2
60,6,1,1,1,1,1,60,1.79769313486232e+308,4,1,54,1,2,1.79769313486232e+308,2,1,3,50000,4
60,9,1,1,1,1,1,53,1.79769313486232e+308,2,1,36,2,1,4,3,2,3,400000,4
61,3,1,1,1,16,2,65,1.79769313486232e+308,4,1,46,1,2,1.79769313486232e+308,2,1,3,25000,4
61,6,1,1,1,1,1,80,1.79769313486232e+308,5,1,36,1,2,1.79769313486232e+308,1,1,3,20000,4
61,9,1,2,1,1,1,65,1.79769313486232e+308,4,1,55,1,1,3,6,2,3,230000,4
62,3,1,1,1,8,2,55,1.79769313486232e+308,4,1,48,5,2,1.79769313486232e+308,2,2,3,125000,4
62,6,1,1,1,1,1,37,1.79769313486232e+308,4,1,31,1,1,7,6,1,3,75000,1
62,9,1,1,1,2,2,55,1.79769313486232e+308,2,1,32,1,1,7,2,1,3,30000,1
63,3,1,1,1,1,1,56,1.79769313486232e+308,4,1,40,1,1,3,1,1,3,100000,4
