"grappe","passage","exploitation","s6q00","s6q01","s6q02","s6q03","s6q04","s6q05","s6q06","s6q07a","s6q07b","s6q08","s6q09a","s6q09b","s6q09c","s6q10","s6q11a","s6q11b","s6q11c","s6q12","s6q13","s6q14","s6q15","s6q16a","s6q16b"
921,1,3,1,4,2,2,3,5,3,22,43,3000,60,1,0,1000,30,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
921,1,4,1,6,1,2,4,6,3,22,42,4000,60,1,0,1000,30,0,30,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
921,1,5,1,6,1,2,4,6,3,22,43,4000,60,1,0,1000,30,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,2
921,1,6,1,6,1,2,6,7,3,22,43,5000,60,1,0,2000,30,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
921,1,7,1,6,1,2,4,4,3,22,43,5000,60,1,0,1000,30,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
921,1,8,1,6,1,4,4,7,3,14,43,4000,40,0,40,2000,30,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
921,1,9,1,6,1,2,4,6,3,22,43,5000,70,1,10,2000,60,1,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
922,1,1,1,6,1,2,6,7,2,22,43,5000,90,1,30,390,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
922,1,2,1,4,1,2,3,5,3,22,43,5000,90,1,30,3000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
922,1,3,1,6,1,2,4,6,3,22,43,3000,60,1,0,1000,30,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
922,1,4,1,6,1,2,4,7,3,22,43,2000,60,1,0,2000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
922,1,5,1,6,2,4,4,6,3,22,43,5000,60,1,0,2000,30,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
922,1,6,1,6,1,2,4,6,3,22,43,5000,90,1,30,3000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
922,1,7,1,6,1,2,4,7,3,22,43,5000,70,1,10,3000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
922,1,8,1,6,1,2,4,7,3,22,43,5000,90,1,30,3000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
922,1,9,1,6,1,2,4,6,3,22,43,5000,90,1,30,3000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
925,1,1,1,4,1,2,3,5,3,22,43,2000,30,0,30,1000,30,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
925,1,2,1,4,2,2,3,5,3,22,43,3000,60,1,0,1000,30,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,2
925,1,3,1,3,2,2,3,5,3,22,43,4000,60,1,0,2000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
925,1,4,1,4,2,2,3,5,3,22,43,5000,90,1,30,3000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
925,1,5,1,4,2,2,3,5,3,22,43,5000,70,1,10,2000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
925,1,6,1,4,2,2,3,5,3,22,43,5000,90,1,30,2500,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
925,1,7,1,4,1,2,3,5,3,22,43,5000,90,1,30,2000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
925,1,8,1,4,1,2,3,5,3,22,43,5000,70,1,10,3000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
925,1,9,1,4,2,2,3,5,3,22,43,5000,90,1,30,3000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
926,1,1,1,6,1,2,6,2,3,22,43,5000,90,1,30,800,40,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
926,1,2,1,6,1,2,6,7,3,22,43,3000,30,0,30,500,30,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
926,1,3,1,6,1,2,6,7,3,22,43,2000,30,0,30,1000,15,0,0,4,2,2,7,1,3
926,1,4,1,6,1,2,6,7,3,22,43,1000,30,0,30,1000,20,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
926,1,5,1,6,1,2,6,7,3,22,43,2000,60,1,0,7003,30,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
926,1,6,1,6,1,2,6,7,3,22,43,2000,30,0,30,1000,20,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,3
926,1,7,1,6,1,2,4,7,3,22,43,5000,60,1,0,2000,60,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,2
926,1,8,1,6,1,2,6,7,3,22,43,3000,60,1,0,7003,30,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
926,1,9,1,1,1,2,6,7,3,22,34,43,30,0,30,1000,30,0,30,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
927,1,1,1,3,2,2,3,5,3,43,43,200,5,0,0,10,1,0,0,4,2,1,6,1,7
927,1,2,1,3,2,2,3,5,3,43,43,400,12,0,0,50,3,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
927,1,3,1,3,4,2,3,5,3,14,14,300,25,1,30,300,15,1,0,5,1.79769313486232e+308,1.79769313486232e+308,6,1,7
927,1,4,1,2,3,2,3,5,3,14,14,50,10,1,30,50,10,1,10,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
927,1,5,1,2,3,2,3,5,3,14,14,150,10,0,5,150,10,0,30,4,2,2,7,1,7
927,1,6,1,3,5,2,3,5,3,14,14,60,15,1,30,60,15,1,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
927,1,7,1,3,5,2,3,5,3,43,43,900,60,0,0,50,5,0,0,5,1.79769313486232e+308,1.79769313486232e+308,6,1,7
927,1,8,1,4,4,2,3,5,3,43,43,500,20,0,0,50,5,0,0,5,1.79769313486232e+308,1.79769313486232e+308,6,1,7
927,1,9,1,4,2,2,3,5,3,43,43,500,20,0,0,40,5,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
928,1,1,1,4,7,2,3,5,3,43,43,2000,60,0,0,50,10,0,0,4,2,1,7,1,7
928,1,2,1,3,2,2,3,5,3,43,43,5000,60,0,0,10,1,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
928,1,3,1,2,2,2,3,5,3,43,43,1000,80,0,0,200,4,0,0,5,1.79769313486232e+308,1.79769313486232e+308,6,1,7
928,1,4,1,3,2,2,3,5,3,43,43,3000,60,0,0,40,20,0,0,4,2,1,6,1,7
928,1,5,1,3,2,2,3,5,3,43,43,300,20,0,0,200,10,0,0,5,1.79769313486232e+308,1.79769313486232e+308,6,1,7
928,1,6,1,3,2,3,3,5,3,43,43,1000,60,0,0,500,1,0,0,5,1.79769313486232e+308,1.79769313486232e+308,6,1,7
928,1,7,1,3,3,2,3,5,3,43,43,1000,40,0,0,300,10,0,0,4,2,1,4,1,7
928,1,8,1,3,3,2,3,5,3,43,43,600,15,0,0,40,5,0,0,5,1.79769313486232e+308,1.79769313486232e+308,6,1,7
928,1,9,1,3,3,2,3,5,3,43,43,3000,90,0,0,200,9,0,0,4,2,1,6,1,7
929,1,1,1,3,2,2,3,5,3,43,43,200,20,0,0,50,4,0,0,4,2,1,7,1,7
929,1,2,1,3,5,2,3,5,3,32,32,600,40,1,0,600,40,1,25,4,2,1,7,1,7
929,1,3,1,3,2,2,3,5,3,43,43,800,60,0,0,400,15,0,0,5,1.79769313486232e+308,1.79769313486232e+308,7,1,7
929,1,4,1,3,5,2,3,5,3,43,43,1000,60,0,0,10,5,0,0,4,2,1,7,1,7
929,1,5,1,4,4,2,3,5,3,43,43,1000,55,0,0,5,2,0,0,5,1.79769313486232e+308,1.79769313486232e+308,6,2,7
