"grappe","exploitation","passage","s5q01","s5q02","s5q03","s5q04","s5q05","s5q06","s5q07","s5q08","s5q09","s5q10","s5q11"
42,6,1,1,1,2,2,2,2,2,2,2,2,2
42,9,1,1,2,2,2,2,2,2,2,2,2,2
43,3,1,1,2,2,2,2,2,2,2,2,2,2
43,6,1,1,2,2,2,2,2,2,2,2,2,2
43,9,1,1,2,2,2,2,2,2,2,2,2,2
44,3,1,1,2,2,2,2,2,2,2,2,2,2
44,6,1,1,2,2,2,2,2,2,2,2,2,2
44,9,1,1,2,2,2,2,2,2,2,2,2,2
45,3,1,2,2,2,2,2,2,2,2,2,2,2
45,6,1,8,2,2,2,2,2,2,2,2,2,2
45,9,1,2,2,2,2,2,2,2,2,2,2,2
46,3,1,2,2,2,2,2,2,2,2,2,2,2
46,6,1,1,2,2,2,2,2,2,2,2,2,2
46,9,1,1,2,2,2,2,2,2,2,2,2,2
47,3,1,1,2,2,2,2,2,2,2,2,2,2
47,6,1,1,2,2,2,2,2,2,2,2,2,2
47,9,1,2,2,2,2,2,2,2,2,2,2,2
48,3,1,1,2,2,2,2,2,2,2,2,2,2
48,6,1,1,2,2,2,2,2,2,2,2,2,2
48,9,1,1,2,2,2,2,2,2,2,2,2,2
49,3,1,2,2,2,2,2,2,2,2,2,2,2
49,6,1,1,2,2,2,2,2,2,2,2,2,2
49,9,1,2,2,2,2,2,2,2,2,2,2,2
50,3,1,1,2,2,2,2,2,2,2,2,2,2
50,6,1,8,2,2,2,2,2,2,2,2,2,2
50,9,1,1,2,2,2,2,2,2,2,2,2,2
51,3,1,1,2,2,2,2,2,2,2,2,2,2
51,6,1,1,2,2,2,2,2,2,2,2,2,2
51,9,1,1,2,2,2,2,2,2,2,2,2,2
52,3,1,2,2,2,2,2,2,2,2,2,2,2
52,6,1,1,2,2,2,2,2,2,2,2,2,2
52,9,1,1,2,2,2,2,2,2,2,2,2,2
53,3,1,2,2,2,2,2,2,2,2,2,2,2
53,9,1,1,2,2,2,2,2,2,2,2,2,2
54,3,1,1,2,2,2,2,2,2,2,2,2,2
54,6,1,1,2,2,2,2,2,2,2,2,2,2
54,9,1,1,2,2,2,2,2,2,2,2,2,2
55,3,1,1,2,2,2,2,2,2,2,2,2,2
55,6,1,1,2,2,2,2,2,2,2,2,2,2
55,9,1,1,2,2,2,2,2,2,2,2,2,2
56,3,1,1,2,2,2,2,2,2,2,2,2,2
56,6,1,1,2,2,2,2,2,2,2,2,2,2
56,9,1,1,2,2,2,2,2,2,2,2,2,2
57,3,1,1,2,2,2,2,2,2,2,2,2,2
57,6,1,1,2,2,2,2,2,2,2,2,2,2
57,9,1,1,2,2,2,2,2,2,2,2,2,2
58,3,1,1,1,2,2,2,2,2,2,2,1,1
58,6,1,6,2,2,2,2,2,2,2,2,2,2
58,9,1,3,2,2,2,2,2,2,2,2,2,2
59,3,1,1,2,2,2,2,2,2,2,2,2,2
59,6,1,1,2,2,2,2,2,2,2,2,2,2
59,9,1,1,2,2,2,2,2,2,2,2,2,2
60,3,1,1,2,2,2,2,2,2,2,2,2,2
60,6,1,1,2,2,2,2,2,2,2,2,2,2
60,9,1,15,2,2,2,2,2,2,2,2,2,2
61,3,1,1,2,2,2,2,2,2,2,2,2,2
61,6,1,1,2,2,2,2,2,2,2,2,2,2
61,9,1,1,2,2,2,2,2,2,2,2,2,2
62,3,1,1,2,2,2,2,2,2,2,2,2,2
62,6,1,1,2,2,2,2,2,2,2,2,2,2
62,9,1,1,2,2,2,2,2,2,2,2,2,2
63,3,1,1,2,2,2,2,2,2,2,2,2,2
63,6,1,1,2,2,2,2,2,2,2,2,2,2
63,9,1,1,2,2,2,2,2,2,2,2,2,2
64,3,1,1,2,2,2,2,2,2,2,2,2,2
64,6,1,1,2,2,2,2,2,2,2,2,2,2
64,9,1,1,2,2,2,2,2,2,2,2,2,2
65,3,1,1,2,2,2,2,2,2,2,2,2,2
65,6,1,1,2,2,2,2,2,2,2,2,2,2
65,9,1,1,2,2,2,2,2,2,2,2,2,2
66,3,1,1,2,2,2,2,2,2,2,2,2,2
66,6,1,1,2,2,2,2,2,2,2,2,2,2
66,9,1,1,2,2,2,2,2,2,2,2,2,2
67,3,1,13,2,2,2,2,2,2,2,2,1,1
67,6,1,1,1,2,2,2,2,1,2,2,1,1
67,9,1,1,1,2,2,2,2,2,2,2,2,1
68,3,1,1,2,2,2,2,2,2,2,2,2,2
68,6,1,2,2,2,2,2,2,2,2,2,2,2
68,9,1,1,2,2,2,2,2,2,2,2,2,2
69,3,1,1,2,2,2,2,2,2,2,2,2,2
69,6,1,1,2,2,2,2,2,2,2,2,2,2
69,9,1,1,2,2,2,2,2,2,2,2,2,2
70,3,1,1,2,2,2,2,2,2,2,2,2,2
70,6,1,1,2,2,2,2,2,2,2,2,2,2
70,9,1,1,2,2,2,2,2,2,2,2,2,2
71,3,1,1,2,2,2,2,2,2,2,2,2,2
71,6,1,1,2,2,2,2,2,2,2,2,2,2
71,9,1,1,2,2,2,2,2,2,2,2,2,2
72,3,1,1,2,2,2,2,2,2,2,2,2,2
72,6,1,1,2,2,2,2,2,2,2,2,2,2
72,9,1,1,2,2,2,1,2,2,2,2,2,1
73,3,1,1,2,2,2,2,2,2,2,2,2,2
73,6,1,1,2,2,2,2,2,2,2,2,2,2
73,9,1,1,2,2,2,2,2,2,2,2,2,2
74,3,1,1,2,2,2,1,2,2,2,2,2,1
74,6,1,1,2,2,2,2,2,2,2,2,2,2
74,9,1,1,2,2,2,2,2,2,2,2,2,2
75,3,1,1,2,2,2,2,2,2,2,2,2,2
75,6,1,1,2,2,2,2,2,2,2,2,2,2
75,9,1,1,2,2,2,2,2,2,2,2,2,2
76,3,1,1,2,2,2,2,2,2,2,2,2,2
76,6,1,1,2,2,2,2,2,2,2,2,2,2
76,9,1,1,2,2,2,2,2,2,2,2,2,2
77,3,1,1,2,2,2,2,2,2,2,2,2,2
77,6,1,1,2,2,2,2,2,2,2,2,2,2
77,9,1,1,2,2,2,2,2,2,2,2,2,2
78,3,1,1,2,2,2,2,2,2,2,2,2,2
78,6,1,1,2,2,2,2,2,2,2,2,2,2
78,9,1,1,2,2,2,2,2,2,2,2,2,2
79,3,1,1,2,2,2,2,2,2,2,2,2,2
79,6,1,1,2,2,2,2,2,2,2,2,2,2
79,9,1,1,2,2,2,2,2,2,2,2,2,2
80,3,1,1,2,2,2,2,2,2,2,2,2,2
80,6,1,2,2,2,2,2,2,2,2,2,2,2
80,9,1,1,1,2,2,2,2,2,2,2,2,1
81,3,1,1,2,2,2,1,2,2,2,2,2,1
81,6,1,9,2,2,2,2,2,2,2,2,2,2
81,9,1,1,2,2,2,1,2,2,2,2,2,1
82,3,1,1,2,2,2,2,2,2,2,2,2,2
82,6,1,1,2,2,2,2,2,2,2,2,2,2
82,9,1,1,2,2,2,2,2,2,2,2,2,2
83,3,1,1,2,2,2,2,2,2,2,2,2,2
83,6,1,1,2,2,2,2,2,2,2,2,2,2
83,9,1,1,2,2,2,2,2,2,2,2,2,2
84,3,1,1,2,2,2,2,2,2,2,2,2,2
84,6,1,1,2,2,2,2,2,2,2,2,2,2
84,9,1,1,2,2,2,2,2,2,2,2,2,2
86,3,1,1,2,2,2,2,2,2,2,2,2,2
86,6,1,1,2,2,2,2,2,2,2,2,2,2
86,9,1,1,2,2,2,2,2,2,2,2,2,2
87,3,1,1,2,2,2,1,2,2,2,2,2,1
87,6,1,1,2,2,2,2,2,2,2,2,2,2
87,9,1,1,2,2,2,2,2,2,2,2,2,2
88,3,1,1,2,2,2,2,2,2,2,2,2,2
88,6,1,1,2,2,2,2,2,2,2,2,2,2
88,9,1,1,2,2,2,2,2,2,2,2,2,2
89,3,1,1,2,2,2,2,2,2,2,2,2,2
89,6,1,1,2,2,2,2,2,2,2,2,2,2
89,9,1,1,2,2,2,2,2,2,2,2,2,2
90,3,1,7,2,2,2,2,2,2,2,2,2,2
90,6,1,1,2,2,2,2,2,2,2,2,2,2
90,9,1,1,2,2,2,2,2,2,2,2,2,2
91,3,1,1,2,2,2,2,2,2,2,2,1,1
91,6,1,2,1,2,2,2,2,2,2,2,2,1
91,9,1,1,2,2,2,2,2,2,2,2,2,2
92,3,1,1,2,2,2,2,2,2,2,2,2,2
92,6,1,1,2,2,2,2,2,2,2,2,2,2
92,9,1,1,2,2,2,2,2,2,2,2,2,2
93,3,1,1,2,2,2,2,2,2,2,2,2,2
93,6,1,1,2,2,2,2,2,2,2,2,2,2
93,9,1,1,2,2,2,2,2,2,2,2,2,2
95,3,1,1,2,2,2,1,2,2,2,2,2,1
95,6,1,1,2,2,2,1,2,2,2,2,1,1
95,9,1,1,2,2,2,2,2,2,2,2,2,2
96,3,1,1,2,2,2,2,2,2,2,2,2,2
96,6,1,1,2,2,2,2,2,2,2,2,2,2
96,9,1,2,2,2,2,2,2,2,2,2,2,2
97,3,1,1,2,2,2,2,2,2,2,2,2,2
97,6,1,1,2,2,2,2,2,2,2,2,2,2
97,9,1,1,2,2,2,2,2,2,2,2,2,2
98,3,1,1,2,2,2,2,2,2,2,2,2,2
98,6,1,2,2,2,2,2,2,2,2,2,2,2
98,9,1,1,2,2,2,2,2,2,2,2,2,2
99,3,1,1,2,2,2,2,2,2,2,2,2,2
99,6,1,1,2,2,2,2,2,2,2,2,2,2
99,9,1,1,2,2,2,2,2,2,2,2,2,2
100,3,1,1,2,2,2,2,2,2,2,2,2,2
100,6,1,1,2,2,2,2,2,2,2,2,2,2
100,9,1,1,2,2,2,2,2,2,2,2,2,2
101,3,1,1,1,1,2,2,2,2,2,2,2,1
101,6,1,1,2,2,2,2,2,2,2,2,2,2
101,9,1,1,2,2,2,2,2,2,2,2,2,2
102,3,1,1,2,2,2,2,2,2,2,2,2,2
102,6,1,1,2,2,2,2,2,2,2,2,2,2
102,9,1,1,2,2,2,2,2,2,2,2,2,2
103,3,1,1,2,2,2,2,2,2,2,2,2,2
103,6,1,1,2,2,2,2,2,2,2,2,2,2
103,9,1,1,2,2,2,2,2,2,2,2,2,2
104,3,1,1,2,2,2,2,2,1,2,2,2,1
104,6,1,1,2,2,2,2,2,2,2,2,2,2
106,3,1,1,2,2,2,2,2,2,2,2,2,2
106,6,1,1,2,2,2,2,2,2,2,2,2,2
106,9,1,1,2,2,2,2,2,2,2,2,2,2
107,3,1,1,2,2,2,2,2,2,2,2,2,2
107,6,1,1,2,2,2,2,2,2,2,2,2,2
107,9,1,1,2,2,2,2,2,2,2,2,2,2
108,3,1,1,2,2,2,2,2,2,2,2,2,2
108,6,1,1,2,2,2,2,2,2,2,2,2,2
108,9,1,1,2,2,2,2,2,2,2,2,2,2
109,3,1,1,2,2,2,2,2,2,2,2,2,2
109,6,1,1,2,2,2,2,2,2,2,2,2,2
109,9,1,1,2,2,2,1,2,2,2,2,2,1
110,3,1,1,2,1,2,2,2,1,2,2,2,1
110,6,1,6,2,2,2,2,2,2,2,2,2,2
110,9,1,1,2,2,2,2,2,2,2,2,2,2
111,3,1,1,2,2,2,2,2,2,2,2,1,1
